pid,technique,granularity,windows,trialNo,time,accuracy,steps
3,AUTOCOMPASTE,paragraph,Single,3,7993,1,3
3,AUTOCOMPASTE,paragraph,Multiple,1,5693,1,3
3,AUTOCOMPASTE,paragraph,Multiple,2,8719,1,2
3,AUTOCOMPASTE,paragraph,Multiple,3,6320,1,3
3,AUTOCOMPASTE,phrase,Single,1,10521,1,6
3,AUTOCOMPASTE,phrase,Single,2,14014,1,6
3,AUTOCOMPASTE,phrase,Single,3,10819,1,7
3,AUTOCOMPASTE,phrase,Multiple,1,11096,1,6
3,AUTOCOMPASTE,phrase,Multiple,2,10754,1,6
3,AUTOCOMPASTE,phrase,Multiple,3,8951,1,7
3,AUTOCOMPASTE,sentence,Single,1,6007,1,4
3,AUTOCOMPASTE,sentence,Single,2,5972,1,2
3,AUTOCOMPASTE,sentence,Single,3,4028,1,2
3,AUTOCOMPASTE,sentence,Multiple,1,6647,1,1
3,AUTOCOMPASTE,sentence,Multiple,2,5539,1,2
3,AUTOCOMPASTE,sentence,Multiple,3,6820,1,3
3,TRADITIONAL,paragraph,Single,1,6617,1,4
3,TRADITIONAL,paragraph,Single,2,5778,1,5
3,TRADITIONAL,paragraph,Single,3,5374,1,5
3,TRADITIONAL,paragraph,Multiple,1,7278,1,5
3,TRADITIONAL,paragraph,Multiple,2,5512,1,5
3,TRADITIONAL,paragraph,Multiple,3,21869,1,5
3,TRADITIONAL,phrase,Single,1,4671,1,4
3,TRADITIONAL,phrase,Single,2,5975,1,5
3,TRADITIONAL,phrase,Single,3,7573,1,5
3,TRADITIONAL,phrase,Multiple,1,9071,1,5
3,TRADITIONAL,phrase,Multiple,2,13738,1,6
3,TRADITIONAL,phrase,Multiple,3,18637,1,8
3,TRADITIONAL,sentence,Single,1,4352,1,4
3,TRADITIONAL,sentence,Single,2,4945,1,5
3,TRADITIONAL,sentence,Single,3,4676,1,4
3,TRADITIONAL,sentence,Multiple,1,20494,1,5
3,TRADITIONAL,sentence,Multiple,2,4815,1,4
3,TRADITIONAL,sentence,Multiple,3,12130,1,12
4,AUTOCOMPASTE,paragraph,Multiple,1,22220,1,13
4,AUTOCOMPASTE,paragraph,Multiple,2,26308,1,13
4,AUTOCOMPASTE,paragraph,Multiple,3,46272,1,18
4,AUTOCOMPASTE,paragraph,Single,1,14408,1,9
4,AUTOCOMPASTE,paragraph,Single,2,14614,1,9
4,AUTOCOMPASTE,paragraph,Single,3,21091,1,17
4,AUTOCOMPASTE,phrase,Multiple,1,24260,1,6
4,AUTOCOMPASTE,phrase,Multiple,2,27438,1,3
4,AUTOCOMPASTE,phrase,Multiple,3,40823,1,7
4,AUTOCOMPASTE,phrase,Single,1,46151,1,22
4,AUTOCOMPASTE,phrase,Single,2,37996,1,19
4,AUTOCOMPASTE,phrase,Single,3,28371,1,12
4,AUTOCOMPASTE,sentence,Multiple,1,13190,1,5
4,AUTOCOMPASTE,sentence,Multiple,2,10191,1,4
4,AUTOCOMPASTE,sentence,Multiple,3,13060,1,5
4,AUTOCOMPASTE,sentence,Single,1,9150,1,3
4,AUTOCOMPASTE,sentence,Single,2,7254,1,3
4,AUTOCOMPASTE,sentence,Single,3,8366,1,3
4,TRADITIONAL,paragraph,Multiple,1,16102,1,4
4,TRADITIONAL,paragraph,Multiple,2,35210,1,6
4,TRADITIONAL,paragraph,Multiple,3,10309,1,6
4,TRADITIONAL,paragraph,Single,1,6790,1,6
